Rank,CMC_ID,Name,Symbol,Slug,Price_USD,MarketCap,Volume24h,CirculatingSupply,TotalSupply,MaxSupply,DateAdded,ConfidenceScore,Confidence,Reason,BinanceSymbol,BaseAsset,QuoteAsset,AvailableMarkets,FirstHourlyCandle,Status
92,26081,First Digital USD,FDUSD,first-digital-usd,0.9968815423491644,346072941.766233,172562961.14187652,347155531.589749,347155531.589749,,2023-07-26T04:26:40.000Z,0,,Stablecoin,,,,,,STABLECOIN_SKIP
97,28081,SPX6900,SPX,spx6900,0.33642224745782,313206787.72905004,5527365.76098928,930993090.07,930993090.07,1000000000.0,2023-08-17T10:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
103,9816,AINFT,NFT,apenft,2.687712259527897e-07,266111894.04872105,6826642.33907705,990105592982874.8,990105592982874.8,999990000000000.0,2021-05-14T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
104,3602,Bitcoin SV,BSV,bitcoin-sv,13.236890431263332,265534338.50696796,11478794.26406116,20060175.0,20060175.0,,2018-11-09T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
105,16086,BitTorrent [New],BTT,bittorrent-new,2.6759659266867053e-07,264127975.0858528,4743073.20331272,987037885840674.8,987037885840674.8,,2019-01-31T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
107,30495,Monad,MON,monad,0.0220823056554886,261126907.9565869,16509592.26300815,11825165000.0,100682925000.0,114166666695.0,2024-07-04T07:03:38.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
124,30636,Zebec Network,ZBCN,zebec-network,0.0019624103990172,196238636.1163053,10824173.60867644,99998775085.26376,99998775085.26376,100000000000.0,2024-04-15T04:07:21.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
126,36922,Humanity,H,humanity-protocol,0.0618206405948935,191558123.83647484,7495422.25480179,3098611111.0,10000000000.0,10000000000.0,2025-06-23T03:36:52.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
127,37298,Velvet,VELVET,velvet,0.4294558657939053,180829398.31505647,23681375.69524051,421066313.7195011,1000000000.0,1000000000.0,2025-07-09T10:28:24.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
128,38849,Pieverse,PIEVERSE,pieverse,0.6621219518429869,179171670.07944533,9467964.25975104,270602220.0,1000000000.0,1000000000.0,2025-10-31T01:31:02.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
133,36532,BUILDon,B,buildon,0.171691219687618,171691219.68761808,15597366.47092788,1000000000.0,1000000000.0,,2025-05-16T08:07:37.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
136,2394,Telcoin,TEL,telcoin,0.0016951584967566,162861075.4016334,1032976.15440875,96074246575.31,100000000000.0,100000000000.0,2018-01-14T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
139,4041,MX Token,MX,mx-token,1.6626913393010017,152697139.86629343,4897168.10554779,91837334.0,409024834.0,413787834.0,2019-09-24T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
141,7431,Akash Network,AKT,akash-network,0.5097006450608057,150919136.21872863,2812313.36505301,296093673.180901,296093673.180901,388539008.0,2020-10-16T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
144,37322,Vision,VSN,vision-token,0.03954738291358,143416455.7734982,3394752.98616314,3626446181.960901,4108036818.244497,4200000000.0,2025-07-11T08:45:23.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
149,39720,edgeX,EDGE,edgex,0.4014519419275055,140508179.67462695,5979028.01482241,350000000.0,1000000000.0,1000000000.0,2026-03-19T13:39:28.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
150,2467,OriginTrail,TRAC,origintrail,0.2794986381909898,139749319.0954949,4351337.56956014,500000000.0,500000000.0,500000000.0,2018-01-25T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
151,18679,Onyxcoin,XCN,onyxcoin,0.0035138987805333,136626725.59113565,4505578.58877235,38881804549.417625,48402432357.48608,68892071756.90897,2022-03-09T16:10:43.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
155,33597,Fartcoin,FARTCOIN,fartcoin,0.1245115289029853,124511311.75487898,11929738.49976278,999998256.0,1000000000.0,1000000000.0,2024-10-23T17:42:55.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
160,7548,WEMIX,WEMIX,wemix,0.2348713972039875,116989385.5877348,1078246.56630982,498099755.78307074,558896667.9927068,590000000.0,2020-10-29T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
161,10180,GoМining,GOMINING,gomining-token,0.2878138246194713,116222227.52338752,6939005.13939851,403810441.2706685,403890250.7458408,403890250.7458408,2021-06-01T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
165,34958,Tagger,TAG,tagger,0.0010285424738021,111498707.26729822,6608928.86710302,108404572594.0,405380800000.0,,2024-12-31T03:48:26.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
173,35626,Data Network,DATA,data-network,0.2736363521861325,97750707.74146912,33161577.63796627,357228515.0,1030755602.0,,2025-02-06T07:02:40.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
175,3871,AB,AB,newton,0.0009761222659174,96463976.1567929,699171.28103826,98823661261.46,98823661261.46,98823661261.46,2019-04-17T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
178,33391,DeepBook Protocol,DEEP,deepbook-protocol,0.0174254970062594,95313581.17301652,3319568.08137501,5469776910.16667,10000000000.0,10000000000.0,2024-10-10T05:43:32.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
179,36542,SOON,SOON,soon,0.1702304265612849,94865815.9371247,6205759.67198802,557278847.58,998466231.2532852,,2025-05-23T02:53:18.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
180,39965,Nexus,NEX,nexus-labs,1.5785826996108385e-06,94714961.9766503,1051991.21369346,60000000000000.0,100000000000000.0,100000000000000.0,2026-05-08T04:45:35.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
182,10508,Fluid,FLUID,instadapp,1.171294728292937,92177377.50815776,4802838.43770617,78696996.82034639,100000000.0,,2021-06-19T00:00:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
184,38151,YZY MONEY,YZY,yzy,0.293695319147762,88982515.86480038,120945.44418096,302975601.119581,999999434.45296,1000000000.0,2025-08-21T02:17:55.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
185,30083,Aethir,ATH,aethir,0.0044086781460027,88741244.56719263,6752209.26673105,20128764593.0,42000000000.0,42000000000.0,2024-06-12T02:20:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
187,28298,Beam,BEAM,onbeam,0.001697719294247,87093313.34155928,11560523.66401103,51300184687.0,58470184687.0,58470184687.0,2021-10-29T04:07:32.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
188,33280,Cheems (cheems.pet),CHEEMS,cheems-pet,4.618737465238992e-07,86599034.16634184,1354123.72983272,187495034775398.0,203672952644644.2,203672960023058.0,2024-10-03T03:58:19.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
190,40092,o1.exchange,O,o1-exchange,0.5141130872887285,82258093.96619657,55969668.76578809,160000000.0,1000000000.0,1000000000.0,2026-06-15T10:15:31.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
191,32956,Grass,GRASS,grass,0.3329028945786946,81196710.79637992,17355463.39209509,243905091.0,1000000000.0,,2024-10-28T05:31:00.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
192,35347,Official Melania Meme,MELANIA,melania-meme,0.0801113896523999,80111062.29639934,6228965.78612915,999995913.739581,999995913.739585,,2025-01-19T23:21:51.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
196,38967,RaveDAO,RAVE,ravedao,0.3001599029672209,75784538.88991009,6268516.7844709,252480555.0,1000000000.0,1000000000.0,2025-11-18T10:05:02.000Z,0,,No Binance Spot Market,,,,,,NOT_LISTED
