Rank,CMC_ID,Name,Symbol,Slug,Price_USD,MarketCap,Volume24h,CirculatingSupply,TotalSupply,MaxSupply,DateAdded
1,1,Bitcoin,BTC,bitcoin,64098.191029978036,1285854132107.7432,26262068414.44282,20060693,20060693,21000000,2010-07-13T00:00:00.000Z
2,1027,Ethereum,ETH,ethereum,1863.5531541626256,224898649376.51303,9718929342,120682712.41641597,120682712.41641597,,2015-08-07T00:00:00.000Z
3,825,Tether USDt,USDT,tether,0.9989003854866171,1.83954E+11,53459194915.58018,184156916986.16385,189106724037.45197,,2015-02-25T00:00:00.000Z
4,1839,BNB,BNB,bnb,561.0430312593998,74711710564.15143,969887528.7118716,133165740.2,133165740.2,133165740.2,2017-07-25T00:00:00.000Z
5,3408,USDC,USDC,usd-coin,0.9997375186727816,72838998331.61235,10440968211.887035,72858122228.23346,72858122228.23346,,2018-10-08T00:00:00.000Z
6,52,XRP,XRP,xrp,1.0920151062107772,68214365675.84745,1068767911.5698732,62466503703,99985639695,1E+11,2013-08-04T00:00:00.000Z
7,5426,Solana,SOL,solana,74.05775763390751,43165658590.59717,1634107155.101445,582864779.7301612,630867434.7592477,,2020-04-10T00:00:00.000Z
8,1958,TRON,TRX,tron,0.3304741973033983,31355002113.051605,447538602.0076323,94878820703.40738,94878822584.63599,,2017-09-13T00:00:00.000Z
9,32196,Hyperliquid,HYPE,hyperliquid,58.886327559241806,14881752977.61315,327581299.6397521,252720004.7012876,953078769.5841608,953078769.5841608,2024-07-15T10:14:50.000Z
10,74,Dogecoin,DOGE,dogecoin,0.068947846,10700974985.596909,742570365.5943006,155203906383.70526,155203906383.70526,,2013-12-15T00:00:00.000Z
11,3957,UNUS SED LEO,LEO,unus-sed-leo,9.611834740590382,8844131568,598523.9446,920129382.9,985239504,,2019-05-21T00:00:00.000Z
12,1437,Zcash,ZEC,zcash,497.24925272391073,8347336775.679297,383501462.18621147,16787027.29,16787027.29,21000000,2016-10-29T00:00:00.000Z
13,328,Monero,XMR,monero,355.7054534002795,6680910030.016881,103370894.7103792,18782141.13995822,18782141.13995822,,2014-05-21T00:00:00.000Z
14,1975,Chainlink,LINK,chainlink,8.363890952845443,6257026574,189933682.4465908,748099970.4,1000000000,1000000000,2017-09-20T00:00:00.000Z
15,512,Stellar,XLM,stellar,0.1781260080161594,6087438312.390289,133748283.77912036,34174898883.031406,50001786839.912476,50001806812,2014-08-05T00:00:00.000Z
16,2010,Cardano,ADA,cardano,0.16464869771985252,6008014418.109585,213434220.57549557,36489899411.97189,44993202652.386566,45000000000,2017-10-01T00:00:00.000Z
17,37263,Canton,CC,canton-network,0.11894308904135821,4656156978.499743,12347042.67370367,39146090924.88535,39146090924.88535,,2025-07-08T04:07:45.000Z
18,4943,Dai,DAI,multi-collateral-dai,0.9997325655329957,4639396896.833623,35957274.43936529,4640637963.373919,4640637963.373919,,2019-11-22T00:00:00.000Z
19,1831,Bitcoin Cash,BCH,bitcoin-cash,209.7691166324517,4209164163.611786,97648281.3,20065700,20065700,21000000,2017-07-23T00:00:00.000Z
20,36148,World Liberty Financial USD,USD1,usd1,0.9986785369941851,4140132708.910278,1025191854.9401947,4145610980.4574523,4145610980.4574523,,2025-04-13T05:37:56.000Z
21,29470,Ethena USDe,USDe,ethena-usde,0.999934212,3988210444.4521685,29326665.05239705,3988472837.759209,3988472837.759209,,2024-02-20T11:05:01.000Z
22,11419,Gram (prev. Toncoin),GRAM,gram,1.454654308954721,3976266017.615601,50053458.44331982,2733478320.682835,5219829702.957956,,2021-08-26T13:40:22.000Z
23,2,Litecoin,LTC,litecoin,46.35348404955761,3588814970.129433,257144822.20434618,77422766.45899035,84000000,84000000,2013-04-28T00:00:00.000Z
24,33793,Global Dollar,USDG,global-dollar-usdg,0.9999574515925542,3265385640,236826345.21644983,3265524582.796733,3265524582.796733,,2024-11-05T04:54:47.000Z
25,4642,Hedera,HBAR,hedera,0.070764138,3098839181.1201706,42767070.09469657,43791096250.844505,50000000000,50000000000,2019-09-17T00:00:00.000Z
26,20947,Sui,SUI,sui,0.717648015,2908149511.343546,209661222.04449454,4052334085.342099,10000000000,10000000000,2022-07-12T08:03:11.000Z
27,27772,PayPal USD,PYUSD,paypal-usd,0.9995644154130634,2690126172.280377,75042583.04482886,2691298460.408577,2691298460.408577,,2023-08-21T14:30:00.000Z
28,5805,Avalanche,AVAX,avalanche,6.200982010322602,2677410164,273291543.95101476,431771961.1772119,463441061.1772119,715748719,2020-07-13T00:00:00.000Z
29,3635,Cronos,CRO,cronos,0.05653053,2672479273.5467844,6311951.713,47274972680.388855,98808311135.61748,1E+11,2018-12-14T00:00:00.000Z
30,5176,Tether Gold,XAUT,tether-gold,4070.436019115305,2494459497.1251073,141310333.21054894,612823.6595,707747.089,,2020-02-07T00:00:00.000Z
31,5994,Shiba Inu,SHIB,shiba-inu,4.143875576285343e-06,2441749127.4936156,55530879.00533611,589242867586881.2,589499570592486.5,589552695333683.0,2020-08-01T00:00:00.000Z
32,7083,Uniswap,UNI,uniswap,3.8267400665682754,2392460904.8388753,153932256.75531414,625195561.5538775,892330420.0329479,,2020-09-17T00:00:00.000Z
33,6535,NEAR Protocol,NEAR,near-protocol,1.8106591009901518,2356963006.1109915,134457398.2002034,1301715494,1301715494,,2020-08-11T00:00:00.000Z
34,22974,Bittensor,TAO,bittensor,189.3459432850863,2112743789.9001517,106052434.98371233,11158114.89406523,21000000,21000000,2023-03-06T05:20:00.000Z
35,21159,Ondo,ONDO,ondo-finance,0.3920868074215896,1909200307.6623333,117342379.43757857,4869330647,10000000000,10000000000,2024-01-18T12:06:25.000Z
36,33251,World Liberty Financial,WLFI,world-liberty-financial-wlfi,0.057945092,1841181240.6287293,88426907.54191947,31774584760,1E+11,1E+11,2024-10-01T02:34:47.000Z
37,4705,PAX Gold,PAXG,pax-gold,4066.9880654289286,1809261283.6666543,120001641.21636538,444865.1569,444865.1569,,2019-09-26T00:00:00.000Z
38,3897,OKB,OKB,okb,81.88612335514553,1719608590.4580562,17139178.11268918,21000000,21000000,21000000,2019-04-30T00:00:00.000Z
39,36341,Aster,ASTER,aster,0.6355120269774854,1715900963.0530446,47125809.62652437,2700029094.9864817,7816197874.516728,8000000000,2025-04-25T06:46:11.000Z
40,34387,Ripple USD,RLUSD,ripple-usd,1.0004258853554555,1600635873.3511596,160090927.44295973,1599954476.170363,1599954476.170363,,2024-12-18T07:22:18.000Z
41,35491,MemeCore,M,memecore,1.1867947959718876,1575518647.6578794,14600158.52901356,1327540913.5643022,5394857686.0715275,10000000000,2025-07-03T09:16:58.000Z
42,19891,USDD,USDD,usdd,0.9990107573545378,1537052129.8346465,18850650.02007803,1538574153,1538574153,,2022-05-02T08:07:12.000Z
43,7278,Aave,AAVE,aave,94.83676612726367,1462150104.304036,169556704.4953192,15417544.94603857,16000000,,2020-10-02T00:00:00.000Z
44,33038,Sky,SKY,sky,0.057998397,1354651478.3444877,26566694.64747394,23356705591.335705,23462665147.365967,23462665147,2024-09-18T13:25:16.000Z
45,6636,Polkadot,DOT,polkadot-new,0.7980087342022876,1352450518.1113524,64706683.44857127,1694781598.4286196,1694781598.4286196,2100000000,2020-08-19T00:00:00.000Z
46,27075,Mantle,MNT,mantle,0.40958590124937744,1352573220.862108,68994126.29738797,3302294383,6219316794.889999,6219316795,2023-07-17T11:00:31.000Z
47,13502,Worldcoin,WLD,worldcoin-org,0.3761180589572962,1338406099.8376255,148252249.03299123,3558473378.141053,10000000000,,2021-10-28T15:31:43.000Z
48,8916,Internet Computer,ICP,internet-computer,2.1496043976031776,1193314248.3565862,31852513.51693517,555132027.8685414,555132027.8685414,,2021-03-23T00:00:00.000Z
49,11092,Bitget Token,BGB,bitget-token-new,1.6536229280673096,1155195303.4319477,6043541.446,698584474.0203834,910920874.6481038,919992036,2021-07-29T00:00:00.000Z
50,24478,Pepe,PEPE,pepe,2.711051064046526e-06,1121758303,129694004.75007573,413772473088271.1,413772473088271.1,413772473088271.1,2023-04-17T06:18:08.000Z
51,39120,United Stables,U,united-stables,0.9998080153073314,1068004028.0027332,101976303.40566714,1068209108,1068209108,,2025-12-12T08:13:26.000Z
52,1321,Ethereum Classic,ETC,ethereum-classic,6.651867895929325,1048475979.9813843,38502503.16910308,157621287.19107747,210700000,210700000,2016-07-24T00:00:00.000Z
53,34104,Morpho,MORPHO,morpho,1.9467509527798248,1005205198.7696329,15390177.45331147,516350176.8596902,999999999.8010328,1000000000,2024-11-21T10:30:00.000Z
54,38837,Audiera,BEAT,audiera,3.253537228,1006210611.204507,50608475.19164173,309266666,1000000000,1000000000,2025-10-30T05:07:08.000Z
55,38892,Stable,STABLE,stable,0.037950972,940208650.1927812,13307144.20370687,24774296639,1E+11,,2025-11-06T14:24:37.000Z
56,35697,Pi,PI,pi,0.083139076,909688801.9483387,13849950.46757804,10941771822.223263,1E+11,1E+11,2025-02-11T07:16:10.000Z
57,2087,KuCoin Token,KCS,kucoin-token,6.493318333129747,890591214.2606357,3365605.782,137155021.29577178,142155021.29577178,200000000,2017-10-24T00:00:00.000Z
58,5488,JUST,JST,just,0.10238382159724221,838394806.1384718,23325786.62025085,8188743036.341737,8188743036.341737,,2020-05-07T00:00:00.000Z
59,30171,Ethena,ENA,ethena,0.086569844,827688867.2779775,103897509.12753232,9560937500,15000000000,15000000000,2024-03-29T04:42:08.000Z
60,28321,Polygon (prev. MATIC),POL,polygon-ecosystem-token,0.077070471,823414756.7828926,44102680.66629369,10683920132.30041,10683920142.30041,,2023-10-30T14:43:57.000Z
61,20396,Kaspa,KAS,kaspa,0.027869533233771022,769084095.4,5412512.271,27595872847.72241,27595872847.72241,28704026601,2022-06-01T00:03:58.000Z
62,3155,Quant,QNT,quant,62.951751317525044,760000000.2976347,4869184.051,12072738,14881364,14881364,2018-08-10T00:00:00.000Z
63,5690,Render,RENDER,render,1.4589156937599672,756844760.0461538,16868401.52131493,518772101.2826915,533532274.5626915,644168762,2020-06-11T00:00:00.000Z
64,4030,Algorand,ALGO,algorand,0.083533571,749214133.0820127,18282274.65066098,8969018347,10000000000,10000000000,2019-06-20T00:00:00.000Z
65,36507,Pump.fun,PUMP,pump-fun,0.00183887,733253078.7030029,55031997.33287994,398751918370.5724,847013722041.7949,1E+12,2025-05-14T18:51:49.000Z
66,3794,Cosmos,ATOM,cosmos,1.3908948045654863,724503405.1975129,21275877.42266115,520890151.3,520890151.3,,2019-03-14T00:00:00.000Z
67,4269,GateToken,GT,gatetoken,6.641169119640235,707738357.5157454,2373188.613,106568338.3,140052780.3,142622843.7,2019-08-20T00:00:00.000Z
68,38590,币安人生,币安人生,bianrensheng,0.6558990253098225,655899025.3098226,23162151.19090997,1000000000,1000000000,1000000000,2025-10-07T03:15:16.000Z
69,29210,Jupiter,JUP,jupiter-ag,0.18454172119389425,612736270.0318909,21191070.12100936,3320312968,6862435229.582892,6864785739,2024-01-31T08:38:13.000Z
70,2280,Filecoin,FIL,filecoin,0.7219535847052508,582245304.2165318,49570964.56122752,806485786,1957315383,,2017-12-13T00:00:00.000Z
71,2634,XDC Network,XDC,xdc-network,0.027618692,580412679.1014313,7150039.948,21015212410,38084428209,,2018-04-12T00:00:00.000Z
72,35509,Venice Token,VVV,venice-token,11.895011678068876,564322102.4757481,16001048.15015565,47441912.43764834,80654681.47,,2025-01-28T02:53:32.000Z
73,7950,Flare,FLR,flare,0.006423294,558165503.2,2334448.018,86897086425.47797,106229111430.1935,,2020-12-11T00:00:00.000Z
74,11841,Arbitrum,ARB,arbitrum,0.084234818,557133836.1881206,47815176.87716783,6614056381,10000000000,,2023-03-23T12:50:11.000Z
75,39125,Lighter,LIT,lighter,2.0820038371972736,520500959.2993184,31312867.90154256,250000000,1000000000,1000000000,2025-12-30T06:45:00.000Z
76,7226,Injective,INJ,injective,5.172086049181136,517058379.0927721,108273282.77338634,99970954.5,100000000,,2020-09-29T00:00:00.000Z
77,21794,Aptos,APT,aptos,0.6069662630402539,512932301.22725314,32717268.45,845075472.0007157,1206135236.8892863,2100000000,2022-10-19T01:50:25.000Z
78,2563,TrueUSD,TUSD,trueusd,0.996107355,492590111.37213266,24392246.73,494515083,494515083,,2018-03-06T00:00:00.000Z
79,2694,Nexo,NEXO,nexo,0.7432993748364147,480279798.6090135,8661031.358,646145839.5746847,1000000000,1000000000,2018-05-01T00:00:00.000Z
80,7186,PancakeSwap,CAKE,pancakeswap,1.3892007326540747,448093085.43896455,23897750.95022848,322554599.1347705,334876829.5388313,400000000,2020-09-25T00:00:00.000Z
81,29814,ether.fi,ETHFI,ether-fi-ethfi,0.4489156797993172,437005048.9828817,27220576.04777728,973468000,1000000000,1000000000,2024-03-13T06:06:39.000Z
82,20641,EURC,EURC,euro-coin,1.138379020830554,433582212.31457335,36396948.02030881,380876847.1490581,380876847.1490581,,2022-06-16T19:13:48.000Z
83,131,Dash,DASH,dash,32.34585184236284,413437777.66890734,61013863.62092578,12781786.66259253,12781786.66259253,18900000,2014-02-14T00:00:00.000Z
84,3077,VeChain,VET,vechain,0.004720845,405922016.19602513,11209930.30938201,85985041177,85985041177,86712634466,2017-08-22T00:00:00.000Z
85,29270,Aerodrome Finance,AERO,aerodrome-finance,0.4133295650764223,402645874.0892305,56466575.06290908,974152124.8662276,1945164683.6269114,,2024-02-02T07:15:19.000Z
86,29420,Virtuals Protocol,VIRTUAL,virtual-protocol,0.5888999217443598,387210132.0928289,38880831.30112929,657514320.8473986,1000000000,1000000000,2024-02-15T07:33:29.000Z
87,34466,Pudgy Penguins,PENGU,pudgy-penguins,0.00602794,378918698.5727874,37323933.38755415,62860396090,76724221264,88888888888,2024-12-17T14:00:00.000Z
88,35336,OFFICIAL TRUMP,TRUMP,official-trump,1.5822657941260565,375650660.01548225,235356775.34149402,237413120.7,999999080.4,999999080.4,2025-01-18T04:19:35.000Z
89,28177,Pyth Network,PYTH,pyth-network,0.045106151,355210113.4224964,12812735.39937673,7874981677.726829,9999981857.422035,10000000000,2023-11-20T09:42:13.000Z
90,10529,Sun [New],SUN,sun-token,0.018365163,353184253.9767134,51669368.42733908,19231207016.782543,19231207016.782543,19900730000,2021-06-21T00:00:00.000Z
91,39064,Midnight,NIGHT,midnight-network,0.020910716767089752,347272625.1,22638219.71504963,16607399401,24000000000,24000000000,2025-12-08T02:23:02.000Z
92,26081,First Digital USD,FDUSD,first-digital-usd,0.9968815423491644,346072941.8,172562961.14187652,347155531.6,347155531.6,,2023-07-26T04:26:40.000Z
93,3773,Artificial Superintelligence Alliance,FET,artificial-superintelligence-alliance,0.15148934621788632,339400628.9027554,105993747.06699921,2240425728.7809353,2714384547,2719493897,2019-03-02T00:00:00.000Z
94,23149,Sei,SEI,sei,0.044527585,326782996.6965599,20498043.50016882,7338888888,10000000000,10000000000,2023-08-14T07:35:00.000Z
95,8000,Lido DAO,LDO,lido-dao,0.39069217938657397,326760220.5683177,33228451.10775233,836362327.7060835,1000000000,,2020-12-15T00:00:00.000Z
96,22861,Celestia,TIA,celestia,0.3441214264718305,316568655.0562438,19611265.08629687,919932996.6,1168685161.483695,,2023-10-31T16:51:41.000Z
97,28081,SPX6900,SPX,spx6900,0.336422247,313206787.72905004,5527365.761,930993090.1,930993090.1,1000000000,2023-08-17T10:00:00.000Z
98,6538,Curve DAO Token,CRV,curve-dao-token,0.2032184947639642,311347930.57991725,24496257.73886754,1532084621.242491,2402836149.293625,3030303030,2020-08-14T00:00:00.000Z
99,26997,LayerZero,ZRO,layerzero,0.8265875480755053,300068199.35240895,25034475.56187596,363020468.97638357,1000000000,1000000000,2024-06-20T05:52:25.000Z
100,28541,Jito,JTO,jito,0.5934287777718655,297877442.8263425,28493855.44603248,501959888,986522992.0750766,,2023-12-07T16:04:41.000Z
101,4172,Terra Classic,LUNC,terra-luna,5.3115981899943984e-05,293825677.3508182,13799353.30649261,5.53178E+12,6.454E+12,6.454E+12,2019-07-26T00:00:00.000Z
102,1659,Gnosis,GNO,gnosis-gno,107.30028888873284,283220160.8953933,3504551.498,2639509.77,2999934.746,,2017-05-01T00:00:00.000Z
103,9816,AINFT,NFT,apenft,2.687712259527897e-07,266111894.04872105,6826642.339,990105592982874.8,990105592982874.8,999990000000000.0,2021-05-14T00:00:00.000Z
104,3602,Bitcoin SV,BSV,bitcoin-sv,13.236890431263333,265534338.50696793,11478794.26406116,20060175,20060175,,2018-11-09T00:00:00.000Z
105,16086,BitTorrent [New],BTT,bittorrent-new,2.6759659266867053e-07,264127975.08585277,4743073.203,987037885840674.8,987037885840674.8,,2019-01-31T00:00:00.000Z
106,9481,Pendle,PENDLE,pendle,1.5225383104762233,261333661.15866318,25574391.11665615,171643405.8575003,281527448.45853144,,2021-04-29T00:00:00.000Z
107,30495,Monad,MON,monad,0.022082305655488688,261126907.9565869,16509592.26300815,11825165000,1.00683E+11,1.14167E+11,2024-07-04T07:03:38.000Z
108,4847,Stacks,STX,stacks,0.14320764702222827,259865425.2,30476194.87258559,1814605788,1814570813,,2019-10-28T00:00:00.000Z
109,23095,Bonk,BONK,bonk1,2.9143530580417526e-06,256447335.89423323,38510320.92316908,87994601473079.05,87994601473079.05,88872433754423.19,2022-12-30T06:58:50.000Z
110,2011,Tezos,XTZ,tezos,0.22861573037169355,249526349.6213008,12439072.90597592,1091466231.197695,1111451886.217097,,2017-10-06T00:00:00.000Z
111,10603,Immutable,IMX,immutable-x,0.1242246177201867,248449235.4403734,9078082.509,2000000000,2000000000,2000000000,2021-06-24T00:00:00.000Z
112,35763,KAITO,KAITO,kaito,0.974511287,235236196.88577276,55579198.74417601,241388889,1000000000,1000000000,2025-02-14T13:09:33.000Z
113,7334,Conflux,CFX,conflux-network,0.044873225192320565,234518694.14184532,6381133.834,5226250022,5226250022,,2020-11-11T00:00:00.000Z
114,7326,DeXe,DEXE,dexe,2.7813196179363833,232890135.17954597,412206189.1948938,83733682.98906265,96504599.33609451,,2020-10-07T00:00:00.000Z
115,36645,Plasma,XPL,plasma-xpl,0.084812265,220511889.71620515,55060230.01634706,2600000000,10000000000,,2025-09-25T11:30:00.000Z
116,8425,JasmyCoin,JASMY,jasmy,0.004356776,215420795.09876412,5362492.808,49444999677.16958,50000000000,50000000000,2021-02-11T00:00:00.000Z
117,38515,DoubleZero,2Z,doublezero,0.060946521078228025,211570819.83507964,2996687.12,3471417500,9998243152,10000000000,2025-09-29T01:04:27.000Z
118,11840,Optimism,OP,optimism-ethereum,0.092035276,210435653.68186462,33105129.37604178,2286467356,4294967296,4294967296,2022-05-31T16:19:46.000Z
119,33824,Maple Finance,SYRUP,maple-finance,0.1732172580820036,206303366.4828896,8739926.797,1191009306.8510675,1244677492.5110993,,2024-11-06T06:16:40.000Z
120,1168,Decred,DCR,decred,11.567742216262252,202736879.7,1945257.98,17526054.42482526,17526054.42482526,21000000,2016-02-10T00:00:00.000Z
121,10804,FLOKI,FLOKI,floki-inu,2.0991215877654497e-05,200700732.04075173,15500502.38809013,9.56118E+12,9.64647E+12,,2021-07-09T00:00:00.000Z
122,32880,Kaia,KAIA,kaia,0.031217250630854183,199030280.00185394,4512989.595,6375650513.089659,6376194907.085461,,2024-10-29T05:17:50.000Z
123,38828,Kite,KITE,kite,0.10907710300165441,196338785.40297794,27494463.67268229,1800000000,10000000000,10000000000,2025-10-29T11:11:32.000Z
124,30636,Zebec Network,ZBCN,zebec-network,0.00196241,196238636.11630526,10824173.60867644,99998775085.26376,99998775085.26376,1E+11,2024-04-15T04:07:21.000Z
125,22691,Starknet,STRK,starknet-token,0.028783848,194202827.1,39663645.20258061,6746937561.348971,10139100000,,2024-02-20T12:19:19.000Z
126,36922,Humanity,H,humanity-protocol,0.061820641,191558123.83647484,7495422.255,3098611111,10000000000,10000000000,2025-06-23T03:36:52.000Z
127,37298,Velvet,VELVET,velvet,0.4294558657939053,180829398.31505647,23681375.69524051,421066313.7195011,1000000000,1000000000,2025-07-09T10:28:24.000Z
128,38849,Pieverse,PIEVERSE,pieverse,0.6621219518429869,179171670.07944533,9467964.26,270602220,1000000000,1000000000,2025-10-31T01:31:02.000Z
129,13855,Ethereum Name Service,ENS,ethereum-name-service,4.352710266,178585582.06588623,9380193.03,41028593.94891147,100000000,,2021-11-09T01:31:29.000Z
130,38482,Falcon Finance,FF,falcon-finance-ff,0.059571576,176927579.5323002,11985939.80281704,2970000000,10000000000,10000000000,2025-09-23T04:16:56.000Z
131,30494,EigenCloud,EIGEN,eigencloud,0.2119260894308525,175274258.42434478,19386309.68820156,827053709.5978146,1825636127.4624436,,2024-07-04T15:49:12.000Z
132,6719,The Graph,GRT,the-graph,0.015856506978075755,172979308.51745707,15084125.50242956,10909042499.500652,11593634166.167112,,2020-12-17T00:00:00.000Z
133,36532,BUILDon,B,buildon,0.17169121968761808,171691219.68761808,15597366.47092788,1000000000,1000000000,,2025-05-16T08:07:37.000Z
134,5692,Compound,COMP,compound,17.108038619234488,171080386.19006747,9976695.924,10000000,10000000,,2020-06-16T00:00:00.000Z
135,8526,Raydium,RAY,raydium,0.6205683933769526,167127689.57070854,14205875.62375335,269313892.5,554997638.5,555000000,2021-02-19T00:00:00.000Z
136,2394,Telcoin,TEL,telcoin,0.001695158,162861075.4016334,1032976.154,96074246575,1E+11,1E+11,2018-01-14T00:00:00.000Z
137,1720,IOTA,IOTA,iota,0.034264274,156168036.77601442,4527060.113,4557751270,4600000000,,2017-06-13T00:00:00.000Z
138,6783,Axie Infinity,AXS,axie-infinity,0.882577984,153755962.65737706,16891332.63886814,174212325.00134403,270000000,,2020-08-31T00:00:00.000Z
139,4041,MX Token,MX,mx-token,1.6626913393010017,152697139.86629343,4897168.106,91837334,409024834,413787834,2019-09-24T00:00:00.000Z
140,4066,Chiliz,CHZ,chiliz,0.014405833952669478,152236849.94580227,21511092.69596571,10567722108,10567722108,,2019-07-01T00:00:00.000Z
141,7431,Akash Network,AKT,akash-network,0.5097006450608057,150919136.21872863,2812313.365,296093673.2,296093673.2,388539008,2020-10-16T00:00:00.000Z
142,10791,eCash,XEC,ecash,7.3268453722661205e-06,146979277.07355234,14799931.87991839,2.00604E+13,2.00604E+13,2.1E+13,2021-07-08T00:00:00.000Z
